DesignName,ParticipantID,TrialID,Block1,Letter1,Letter2,Modifier1,Size
2key,5,373,13,Right,Left,CMD_Shift,2
2key,5,374,14,Right,Left,CMD_Alt_Shift,1
2key,5,375,15,Right,Right,CMD_Alt_Shift,1
2key,5,376,16,Right,Right,None,2
2key,5,377,17,Left,Middle,CMD,1
2key,5,378,18,Left,Left,None,2
2key,5,379,19,Right,Middle,CMD_Alt_Shift,2
2key,5,380,20,Right,Right,None,1
2key,5,381,21,Left,Right,None,2
2key,5,382,22,Left,Right,CMD,2
2key,5,383,23,Left,Left,CMD_Alt_Shift,2
2key,5,384,24,Left,Middle,None,2
2key,5,385,25,Right,Right,CMD_Shift,2
2key,5,386,26,Left,Left,None,1
2key,5,387,27,Left,Middle,Alt,2
2key,5,388,28,Middle,Left,CMD_Shift,1
2key,5,389,29,Left,Right,CMD_Shift,1
2key,5,390,30,Left,Right,CMD_Alt_Shift,2
2key,5,391,31,Right,Middle,None,2
2key,5,392,32,Middle,Middle,Alt,1
2key,5,393,33,Left,Left,Alt,1
2key,5,394,34,Right,Left,CMD,2
2key,5,395,35,Left,Right,Alt,2
2key,5,396,36,Middle,Right,CMD_Shift,1
2key,5,397,37,Right,Left,CMD_Shift,1
2key,5,398,38,Right,Middle,CMD,1
2key,5,399,39,Right,Middle,CMD,2
2key,5,400,40,Left,Middle,CMD_Alt_Shift,2
2key,5,401,41,Right,Right,CMD_Shift,1
2key,5,402,42,Middle,Left,Alt,1
2key,5,403,43,Middle,Left,CMD,2
2key,5,404,44,Left,Right,None,1
2key,5,405,45,Left,Middle,CMD,2
2key,5,406,46,Left,Right,CMD,1
2key,5,407,47,Right,Right,CMD,2
2key,5,408,48,Left,Middle,CMD_Shift,1
2key,5,409,49,Left,Middle,Alt,1
2key,5,410,50,Left,Left,CMD_Alt_Shift,1
2key,5,411,51,Middle,Middle,CMD_Shift,2
2key,5,412,52,Middle,Right,Alt,1
2key,5,413,53,Middle,Left,CMD_Shift,2
2key,5,414,54,Right,Left,Alt,1
