DesignName,ParticipantID,TrialID,Block1,First,Size,NbOfActions
gesture,18,561,17,SE,1,2
gesture,18,562,18,SW,2,2
gesture,18,563,19,N,1,1
gesture,18,564,20,NW,1,1
gesture,18,565,21,N,2,1
gesture,18,566,22,S,1,1
gesture,18,567,23,NW,2,1
gesture,18,568,24,SE,1,1
gesture,18,569,25,E,2,2
gesture,18,570,26,W,2,2
gesture,18,571,27,SW,1,1
gesture,18,572,28,NE,1,2
gesture,18,573,29,S,2,2
gesture,18,574,30,E,2,1
gesture,18,575,31,W,1,2
gesture,18,576,32,SW,2,1
gesture,19,577,1,SE,1,1
gesture,19,578,2,N,2,1
gesture,19,579,3,SW,2,1
gesture,19,580,4,S,2,1
gesture,19,581,5,S,2,2
gesture,19,582,6,E,2,1
gesture,19,583,7,W,2,2
gesture,19,584,8,W,1,2
gesture,19,585,9,NE,1,2
gesture,19,586,10,SW,1,1
gesture,19,587,11,S,1,1
gesture,19,588,12,NW,2,1
gesture,19,589,13,SE,2,2
gesture,19,590,14,E,1,2
gesture,19,591,15,NE,2,2
gesture,19,592,16,NW,1,1
gesture,19,593,17,SE,2,1
gesture,19,594,18,N,1,1
gesture,19,595,19,N,1,2
gesture,19,596,20,NW,1,2
gesture,19,597,21,N,2,2
gesture,19,598,22,S,1,2
gesture,19,599,23,NW,2,2
gesture,19,600,24,SE,1,2
gesture,19,601,25,W,1,1
gesture,19,602,26,NE,1,1
gesture,19,603,27,SW,1,2
gesture,19,604,28,NE,2,1
gesture,19,605,29,E,1,1
gesture,19,606,30,E,2,2
gesture,19,607,31,W,2,1
gesture,19,608,32,SW,2,2
gesture,20,609,1,SE,1,2
gesture,20,610,2,N,2,2
gesture,20,611,3,SW,2,2
gesture,20,612,4,S,2,2
gesture,20,613,5,E,1,1
gesture,20,614,6,E,2,2
gesture,20,615,7,NE,1,1
gesture,20,616,8,W,2,1
gesture,20,617,9,NE,2,1
gesture,20,618,10,SW,1,2
gesture,20,619,11,S,1,2
gesture,20,620,12,NW,2,2
gesture,20,621,13,SW,1,1
gesture,20,622,14,E,2,1
gesture,20,623,15,NW,1,1
gesture,20,624,16,NW,1,2
gesture,20,625,17,SE,2,2
gesture,20,626,18,N,1,2
gesture,20,627,19,N,2,1
gesture,20,628,20,NW,2,1
gesture,20,629,21,S,1,1
gesture,20,630,22,S,2,1
gesture,20,631,23,SE,1,1
gesture,20,632,24,SE,2,1
gesture,20,633,25,W,1,2
gesture,20,634,26,NE,1,2
gesture,20,635,27,SW,2,1
gesture,20,636,28,NE,2,2
gesture,20,637,29,E,1,2
gesture,20,638,30,W,1,1
gesture,20,639,31,W,2,2
gesture,20,640,32,N,1,1
