DesignName,ParticipantID,TrialID,Block1,First,Size
1dir,8,340,4,S,1
1dir,8,341,5,S,2
1dir,8,342,6,SE,1
1dir,8,343,7,S,3
1dir,8,344,8,E,2
1dir,8,345,9,SE,3
1dir,8,346,10,NW,3
1dir,8,347,11,N,2
1dir,8,348,12,W,3
1dir,8,349,13,NW,2
1dir,8,350,14,E,1
1dir,8,351,15,E,3
1dir,8,352,16,W,1
1dir,8,353,17,NW,1
1dir,8,354,18,SW,1
1dir,8,355,19,SW,2
1dir,8,356,20,W,2
1dir,8,357,21,N,1
1dir,8,358,22,N,3
1dir,8,359,23,NE,1
1dir,8,360,24,NE,3
1dir,8,361,25,S,3
1dir,8,362,26,NW,1
1dir,8,363,27,NW,2
1dir,8,364,28,N,1
1dir,8,365,29,N,3
1dir,8,366,30,W,3
1dir,8,367,31,NE,1
1dir,8,368,32,NE,2
1dir,8,369,33,E,1
1dir,8,370,34,N,2
1dir,8,371,35,SW,2
1dir,8,372,36,S,2
1dir,8,373,37,NW,3
1dir,8,374,38,NE,3
1dir,8,375,39,SW,3
1dir,8,376,40,SE,2
1dir,8,377,41,SE,3
1dir,8,378,42,E,3
1dir,8,379,43,W,1
1dir,8,380,44,S,1
1dir,8,381,45,SW,1
1dir,8,382,46,W,2
1dir,8,383,47,SE,1
1dir,8,384,48,E,2
1dir,9,385,1,NE,3
1dir,9,386,2,N,1
1dir,9,387,3,SE,3
1dir,9,388,4,S,2
1dir,9,389,5,S,3
1dir,9,390,6,SE,2
1dir,9,391,7,E,1
1dir,9,392,8,E,3
1dir,9,393,9,SW,1
1dir,9,394,10,SE,1
1dir,9,395,11,N,3
1dir,9,396,12,NE,1
1dir,9,397,13,NW,3
1dir,9,398,14,E,2
1dir,9,399,15,W,1
1dir,9,400,16,W,2
1dir,9,401,17,NW,2
1dir,9,402,18,SW,2
1dir,9,403,19,SW,3
1dir,9,404,20,W,3
1dir,9,405,21,N,2
1dir,9,406,22,S,1
1dir,9,407,23,NE,2
1dir,9,408,24,NW,1
1dir,9,409,25,E,1
1dir,9,410,26,NW,2
1dir,9,411,27,NW,3
1dir,9,412,28,N,2
1dir,9,413,29,S,1
1dir,9,414,30,NE,1
1dir,9,415,31,NE,2
1dir,9,416,32,NE,3
1dir,9,417,33,E,2
1dir,9,418,34,N,3
1dir,9,419,35,SW,3
1dir,9,420,36,S,3
1dir,9,421,37,SE,1
1dir,9,422,38,NW,1
1dir,9,423,39,N,1
1dir,9,424,40,SE,3
1dir,9,425,41,SW,1
1dir,9,426,42,W,1
1dir,9,427,43,W,2
1dir,9,428,44,S,2
1dir,9,429,45,SW,2
1dir,9,430,46,W,3
1dir,9,431,47,SE,2
1dir,9,432,48,E,3
1dir,10,433,1,NW,1
1dir,10,434,2,N,2
1dir,10,435,3,SW,1
1dir,10,436,4,S,3
1dir,10,437,5,E,1
1dir,10,438,6,SE,3
1dir,10,439,7,E,2
1dir,10,440,8,W,1
1dir,10,441,9,SW,2
1dir,10,442,10,SE,2
1dir,10,443,11,S,1
1dir,10,444,12,NE,2
1dir,10,445,13,SE,1
1dir,10,446,14,E,3
1dir,10,447,15,W,2
1dir,10,448,16,W,3
1dir,10,449,17,NW,3
1dir,10,450,18,SW,3
1dir,10,451,19,N,1
1dir,10,452,20,NE,1
1dir,10,453,21,N,3
1dir,10,454,22,S,2
1dir,10,455,23,NE,3
1dir,10,456,24,NW,2
1dir,10,457,25,E,2
1dir,10,458,26,NW,3
1dir,10,459,27,SE,1
1dir,10,460,28,N,3
1dir,10,461,29,S,2
1dir,10,462,30,NE,2
1dir,10,463,31,NE,3
1dir,10,464,32,NW,1
1dir,10,465,33,E,3
1dir,10,466,34,S,1
1dir,10,467,35,N,1
1dir,10,468,36,E,1
1dir,10,469,37,SE,2
1dir,10,470,38,NW,2
1dir,10,471,39,N,2
1dir,10,472,40,SW,1
1dir,10,473,41,SW,2
1dir,10,474,42,W,2
1dir,10,475,43,W,3
1dir,10,476,44,S,3
1dir,10,477,45,SW,3
1dir,10,478,46,NE,1
1dir,10,479,47,SE,3
1dir,10,480,48,W,1
1dir,11,481,1,NW,2
1dir,11,482,2,N,3
1dir,11,483,3,SW,2
1dir,11,484,4,E,1
1dir,11,485,5,E,2
1dir,11,486,6,SW,1
1dir,11,487,7,E,3
1dir,11,488,8,W,2
1dir,11,489,9,SW,3
1dir,11,490,10,SE,3
1dir,11,491,11,S,2
1dir,11,492,12,NE,3
1dir,11,493,13,SE,2
1dir,11,494,14,W,1
1dir,11,495,15,W,3
1dir,11,496,16,NE,1
1dir,11,497,17,SE,1
1dir,11,498,18,N,1
1dir,11,499,19,N,2
1dir,11,500,20,NE,2
1dir,11,501,21,S,1
1dir,11,502,22,S,3
1dir,11,503,23,NW,1
1dir,11,504,24,NW,3
1dir,11,505,25,E,3
1dir,11,506,26,SE,1
1dir,11,507,27,SE,2
1dir,11,508,28,S,1
1dir,11,509,29,S,3
1dir,11,510,30,NE,3
1dir,11,511,31,NW,1
1dir,11,512,32,NW,2
1dir,11,513,33,W,1
1dir,11,514,34,S,2
1dir,11,515,35,N,2
1dir,11,516,36,E,2
1dir,11,517,37,SE,3
1dir,11,518,38,NW,3
1dir,11,519,39,N,3
1dir,11,520,40,SW,2
1dir,11,521,41,SW,3
1dir,11,522,42,W,3
1dir,11,523,43,NE,1
1dir,11,524,44,E,1
1dir,11,525,45,N,1
1dir,11,526,46,NE,2
1dir,11,527,47,SW,1
1dir,11,528,48,W,2
1dir,12,529,1,NW,3
1dir,12,530,2,S,1
1dir,12,531,3,SW,3
1dir,12,532,4,E,2
1dir,12,533,5,E,3
1dir,12,534,6,SW,2
1dir,12,535,7,W,1
1dir,12,536,8,W,3
1dir,12,537,9,N,1
1dir,12,538,10,SW,1
1dir,12,539,11,S,3
1dir,12,540,12,NW,1
1dir,12,541,13,SE,3
1dir,12,542,14,W,2
1dir,12,543,15,NE,1
1dir,12,544,16,NE,2
1dir,12,545,17,SE,2
1dir,12,546,18,N,2
1dir,12,547,19,N,3
1dir,12,548,20,NE,3
1dir,12,549,21,S,2
1dir,12,550,22,E,1
1dir,12,551,23,NW,2
1dir,12,552,24,SE,1
1dir,12,553,25,W,1
1dir,12,554,26,SE,2
1dir,12,555,27,SE,3
1dir,12,556,28,S,2
1dir,12,557,29,E,1
1dir,12,558,30,NW,1
1dir,12,559,31,NW,2
1dir,12,560,32,NW,3
1dir,12,561,33,W,2
1dir,12,562,34,S,3
1dir,12,563,35,N,3
1dir,12,564,36,E,3
1dir,12,565,37,SW,1
1dir,12,566,38,SE,1
1dir,12,567,39,S,1
1dir,12,568,40,SW,3
1dir,12,569,41,N,1
1dir,12,570,42,NE,1
1dir,12,571,43,NE,2
1dir,12,572,44,E,2
1dir,12,573,45,N,2
1dir,12,574,46,NE,3
1dir,12,575,47,SW,2
1dir,12,576,48,W,3
1dir,13,577,1,SE,1
1dir,13,578,2,S,2
1dir,13,579,3,N,1
1dir,13,580,4,E,3
1dir,13,581,5,W,1
1dir,13,582,6,SW,3
1dir,13,583,7,W,2
1dir,13,584,8,NE,1
1dir,13,585,9,N,2
1dir,13,586,10,SW,2
1dir,13,587,11,E,1
1dir,13,588,12,NW,2
1dir,13,589,13,SW,1
1dir,13,590,14,W,3
1dir,13,591,15,NE,2
1dir,13,592,16,NE,3
1dir,13,593,17,SE,3
1dir,13,594,18,N,3
1dir,13,595,19,S,1
1dir,13,596,20,NW,1
1dir,13,597,21,S,3
1dir,13,598,22,E,2
1dir,13,599,23,NW,3
1dir,13,600,24,SE,2
1dir,13,601,25,W,2
1dir,13,602,26,SE,3
1dir,13,603,27,SW,1
