DesignName,ParticipantID,TrialID,Block1,Block2,Block,Size,Repeat,NbAngle
GestureMultiAngle,9,432,6,8,6,1,1,1
GestureMultiAngle,10,433,1,1,1,4,1,2
GestureMultiAngle,10,434,1,2,1,1,1,1
GestureMultiAngle,10,435,1,3,1,2,1,2
GestureMultiAngle,10,436,1,4,1,2,1,1
GestureMultiAngle,10,437,1,5,1,3,1,1
GestureMultiAngle,10,438,1,6,1,3,1,2
GestureMultiAngle,10,439,1,7,1,4,1,1
GestureMultiAngle,10,440,1,8,1,1,1,2
GestureMultiAngle,10,441,2,1,2,4,1,2
GestureMultiAngle,10,442,2,2,2,1,1,1
GestureMultiAngle,10,443,2,3,2,2,1,2
GestureMultiAngle,10,444,2,4,2,2,1,1
GestureMultiAngle,10,445,2,5,2,3,1,1
GestureMultiAngle,10,446,2,6,2,3,1,2
GestureMultiAngle,10,447,2,7,2,4,1,1
GestureMultiAngle,10,448,2,8,2,1,1,2
GestureMultiAngle,10,449,3,1,3,4,1,2
GestureMultiAngle,10,450,3,2,3,1,1,1
GestureMultiAngle,10,451,3,3,3,2,1,2
GestureMultiAngle,10,452,3,4,3,2,1,1
GestureMultiAngle,10,453,3,5,3,3,1,1
GestureMultiAngle,10,454,3,6,3,3,1,2
GestureMultiAngle,10,455,3,7,3,4,1,1
GestureMultiAngle,10,456,3,8,3,1,1,2
GestureMultiAngle,10,457,4,1,4,4,1,2
GestureMultiAngle,10,458,4,2,4,1,1,1
GestureMultiAngle,10,459,4,3,4,2,1,2
GestureMultiAngle,10,460,4,4,4,2,1,1
GestureMultiAngle,10,461,4,5,4,3,1,1
GestureMultiAngle,10,462,4,6,4,3,1,2
GestureMultiAngle,10,463,4,7,4,4,1,1
GestureMultiAngle,10,464,4,8,4,1,1,2
GestureMultiAngle,10,465,5,1,5,4,1,2
GestureMultiAngle,10,466,5,2,5,1,1,1
GestureMultiAngle,10,467,5,3,5,2,1,2
GestureMultiAngle,10,468,5,4,5,2,1,1
GestureMultiAngle,10,469,5,5,5,3,1,1
GestureMultiAngle,10,470,5,6,5,3,1,2
GestureMultiAngle,10,471,5,7,5,4,1,1
GestureMultiAngle,10,472,5,8,5,1,1,2
GestureMultiAngle,10,473,6,1,6,4,1,2
GestureMultiAngle,10,474,6,2,6,1,1,1
GestureMultiAngle,10,475,6,3,6,2,1,2
GestureMultiAngle,10,476,6,4,6,2,1,1
GestureMultiAngle,10,477,6,5,6,3,1,1
GestureMultiAngle,10,478,6,6,6,3,1,2
GestureMultiAngle,10,479,6,7,6,4,1,1
GestureMultiAngle,10,480,6,8,6,1,1,2
GestureMultiAngle,11,481,1,1,1,1,1,1
GestureMultiAngle,11,482,1,2,1,1,1,2
GestureMultiAngle,11,483,1,3,1,3,1,1
GestureMultiAngle,11,484,1,4,1,2,1,2
GestureMultiAngle,11,485,1,5,1,3,1,2
GestureMultiAngle,11,486,1,6,1,4,1,1
GestureMultiAngle,11,487,1,7,1,4,1,2
GestureMultiAngle,11,488,1,8,1,2,1,1
GestureMultiAngle,11,489,2,1,2,1,1,1
GestureMultiAngle,11,490,2,2,2,1,1,2
GestureMultiAngle,11,491,2,3,2,3,1,1
GestureMultiAngle,11,492,2,4,2,2,1,2
GestureMultiAngle,11,493,2,5,2,3,1,2
GestureMultiAngle,11,494,2,6,2,4,1,1
GestureMultiAngle,11,495,2,7,2,4,1,2
GestureMultiAngle,11,496,2,8,2,2,1,1
GestureMultiAngle,11,497,3,1,3,1,1,1
GestureMultiAngle,11,498,3,2,3,1,1,2
GestureMultiAngle,11,499,3,3,3,3,1,1
GestureMultiAngle,11,500,3,4,3,2,1,2
GestureMultiAngle,11,501,3,5,3,3,1,2
GestureMultiAngle,11,502,3,6,3,4,1,1
GestureMultiAngle,11,503,3,7,3,4,1,2
GestureMultiAngle,11,504,3,8,3,2,1,1
GestureMultiAngle,11,505,4,1,4,1,1,1
GestureMultiAngle,11,506,4,2,4,1,1,2
GestureMultiAngle,11,507,4,3,4,3,1,1
GestureMultiAngle,11,508,4,4,4,2,1,2
GestureMultiAngle,11,509,4,5,4,3,1,2
GestureMultiAngle,11,510,4,6,4,4,1,1
GestureMultiAngle,11,511,4,7,4,4,1,2
GestureMultiAngle,11,512,4,8,4,2,1,1
GestureMultiAngle,11,513,5,1,5,1,1,1
GestureMultiAngle,11,514,5,2,5,1,1,2
GestureMultiAngle,11,515,5,3,5,3,1,1
GestureMultiAngle,11,516,5,4,5,2,1,2
GestureMultiAngle,11,517,5,5,5,3,1,2
GestureMultiAngle,11,518,5,6,5,4,1,1
GestureMultiAngle,11,519,5,7,5,4,1,2
GestureMultiAngle,11,520,5,8,5,2,1,1
GestureMultiAngle,11,521,6,1,6,1,1,1
GestureMultiAngle,11,522,6,2,6,1,1,2
GestureMultiAngle,11,523,6,3,6,3,1,1
GestureMultiAngle,11,524,6,4,6,2,1,2
GestureMultiAngle,11,525,6,5,6,3,1,2
GestureMultiAngle,11,526,6,6,6,4,1,1
GestureMultiAngle,11,527,6,7,6,4,1,2
GestureMultiAngle,11,528,6,8,6,2,1,1
GestureMultiAngle,12,529,1,1,1,1,1,2
GestureMultiAngle,12,530,1,2,1,2,1,1
GestureMultiAngle,12,531,1,3,1,3,1,2
