DesignName,ParticipantID,TrialID,Block1,Block2,Block,Dir,Size,Repeat,NbAngle
GestureMultiAngle,2,157,1,29,1,NE_SE,4,1,2
GestureMultiAngle,2,158,1,30,1,SW_NW,2,1,1
GestureMultiAngle,2,159,1,31,1,SW_NW,3,1,2
GestureMultiAngle,2,160,1,32,1,S_W,4,1,1
GestureMultiAngle,2,161,2,1,2,N_E,4,1,2
GestureMultiAngle,2,162,2,2,2,NE_SE,1,1,2
GestureMultiAngle,2,163,2,3,2,S_W,3,1,2
GestureMultiAngle,2,164,2,4,2,NE_SE,3,1,2
GestureMultiAngle,2,165,2,5,2,NE_SE,4,1,1
GestureMultiAngle,2,166,2,6,2,SW_NW,1,1,2
GestureMultiAngle,2,167,2,7,2,SW_NW,4,1,1
GestureMultiAngle,2,168,2,8,2,SW_NW,3,1,1
GestureMultiAngle,2,169,2,9,2,N_E,1,1,1
GestureMultiAngle,2,170,2,10,2,S_W,2,1,2
GestureMultiAngle,2,171,2,11,2,NE_SE,2,1,2
GestureMultiAngle,2,172,2,12,2,N_E,3,1,2
GestureMultiAngle,2,173,2,13,2,S_W,2,1,1
GestureMultiAngle,2,174,2,14,2,SW_NW,1,1,1
GestureMultiAngle,2,175,2,15,2,N_E,2,1,1
GestureMultiAngle,2,176,2,16,2,N_E,2,1,2
GestureMultiAngle,2,177,2,17,2,S_W,1,1,2
GestureMultiAngle,2,178,2,18,2,S_W,4,1,2
GestureMultiAngle,2,179,2,19,2,NE_SE,1,1,1
GestureMultiAngle,2,180,2,20,2,N_E,3,1,1
GestureMultiAngle,2,181,2,21,2,NE_SE,2,1,1
GestureMultiAngle,2,182,2,22,2,NE_SE,3,1,1
GestureMultiAngle,2,183,2,23,2,N_E,4,1,1
GestureMultiAngle,2,184,2,24,2,S_W,1,1,1
GestureMultiAngle,2,185,2,25,2,SW_NW,2,1,2
GestureMultiAngle,2,186,2,26,2,SW_NW,4,1,2
GestureMultiAngle,2,187,2,27,2,S_W,3,1,1
GestureMultiAngle,2,188,2,28,2,N_E,1,1,2
GestureMultiAngle,2,189,2,29,2,NE_SE,4,1,2
GestureMultiAngle,2,190,2,30,2,SW_NW,2,1,1
GestureMultiAngle,2,191,2,31,2,SW_NW,3,1,2
GestureMultiAngle,2,192,2,32,2,S_W,4,1,1
GestureMultiAngle,2,193,3,1,3,N_E,4,1,2
GestureMultiAngle,2,194,3,2,3,NE_SE,1,1,2
GestureMultiAngle,2,195,3,3,3,S_W,3,1,2
GestureMultiAngle,2,196,3,4,3,NE_SE,3,1,2
GestureMultiAngle,2,197,3,5,3,NE_SE,4,1,1
GestureMultiAngle,2,198,3,6,3,SW_NW,1,1,2
GestureMultiAngle,2,199,3,7,3,SW_NW,4,1,1
GestureMultiAngle,2,200,3,8,3,SW_NW,3,1,1
GestureMultiAngle,2,201,3,9,3,N_E,1,1,1
GestureMultiAngle,2,202,3,10,3,S_W,2,1,2
GestureMultiAngle,2,203,3,11,3,NE_SE,2,1,2
GestureMultiAngle,2,204,3,12,3,N_E,3,1,2
GestureMultiAngle,2,205,3,13,3,S_W,2,1,1
GestureMultiAngle,2,206,3,14,3,SW_NW,1,1,1
GestureMultiAngle,2,207,3,15,3,N_E,2,1,1
GestureMultiAngle,2,208,3,16,3,N_E,2,1,2
GestureMultiAngle,2,209,3,17,3,S_W,1,1,2
GestureMultiAngle,2,210,3,18,3,S_W,4,1,2
GestureMultiAngle,2,211,3,19,3,NE_SE,1,1,1
GestureMultiAngle,2,212,3,20,3,N_E,3,1,1
GestureMultiAngle,2,213,3,21,3,NE_SE,2,1,1
GestureMultiAngle,2,214,3,22,3,NE_SE,3,1,1
GestureMultiAngle,2,215,3,23,3,N_E,4,1,1
GestureMultiAngle,2,216,3,24,3,S_W,1,1,1
GestureMultiAngle,2,217,3,25,3,SW_NW,2,1,2
GestureMultiAngle,2,218,3,26,3,SW_NW,4,1,2
GestureMultiAngle,2,219,3,27,3,S_W,3,1,1
GestureMultiAngle,2,220,3,28,3,N_E,1,1,2
GestureMultiAngle,2,221,3,29,3,NE_SE,4,1,2
GestureMultiAngle,2,222,3,30,3,SW_NW,2,1,1
GestureMultiAngle,2,223,3,31,3,SW_NW,3,1,2
GestureMultiAngle,2,224,3,32,3,S_W,4,1,1
GestureMultiAngle,2,225,4,1,4,N_E,4,1,2
GestureMultiAngle,2,226,4,2,4,NE_SE,1,1,2
GestureMultiAngle,2,227,4,3,4,S_W,3,1,2
GestureMultiAngle,2,228,4,4,4,NE_SE,3,1,2
GestureMultiAngle,2,229,4,5,4,NE_SE,4,1,1
GestureMultiAngle,2,230,4,6,4,SW_NW,1,1,2
GestureMultiAngle,2,231,4,7,4,SW_NW,4,1,1
GestureMultiAngle,2,232,4,8,4,SW_NW,3,1,1
GestureMultiAngle,2,233,4,9,4,N_E,1,1,1
GestureMultiAngle,2,234,4,10,4,S_W,2,1,2
GestureMultiAngle,2,235,4,11,4,NE_SE,2,1,2
GestureMultiAngle,2,236,4,12,4,N_E,3,1,2
GestureMultiAngle,2,237,4,13,4,S_W,2,1,1
GestureMultiAngle,2,238,4,14,4,SW_NW,1,1,1
GestureMultiAngle,2,239,4,15,4,N_E,2,1,1
GestureMultiAngle,2,240,4,16,4,N_E,2,1,2
GestureMultiAngle,2,241,4,17,4,S_W,1,1,2
GestureMultiAngle,2,242,4,18,4,S_W,4,1,2
GestureMultiAngle,2,243,4,19,4,NE_SE,1,1,1
GestureMultiAngle,2,244,4,20,4,N_E,3,1,1
GestureMultiAngle,2,245,4,21,4,NE_SE,2,1,1
GestureMultiAngle,2,246,4,22,4,NE_SE,3,1,1
GestureMultiAngle,2,247,4,23,4,N_E,4,1,1
GestureMultiAngle,2,248,4,24,4,S_W,1,1,1
GestureMultiAngle,2,249,4,25,4,SW_NW,2,1,2
GestureMultiAngle,2,250,4,26,4,SW_NW,4,1,2
GestureMultiAngle,2,251,4,27,4,S_W,3,1,1
GestureMultiAngle,2,252,4,28,4,N_E,1,1,2
GestureMultiAngle,2,253,4,29,4,NE_SE,4,1,2
GestureMultiAngle,2,254,4,30,4,SW_NW,2,1,1
GestureMultiAngle,2,255,4,31,4,SW_NW,3,1,2
GestureMultiAngle,2,256,4,32,4,S_W,4,1,1
GestureMultiAngle,3,257,1,1,1,S_W,1,1,1
GestureMultiAngle,3,258,1,2,1,NE_SE,2,1,1
GestureMultiAngle,3,259,1,3,1,S_W,4,1,1
GestureMultiAngle,3,260,1,4,1,NE_SE,4,1,1
GestureMultiAngle,3,261,1,5,1,NE_SE,4,1,2
GestureMultiAngle,3,262,1,6,1,SW_NW,2,1,1
GestureMultiAngle,3,263,1,7,1,SW_NW,4,1,2
GestureMultiAngle,3,264,1,8,1,SW_NW,3,1,2
GestureMultiAngle,3,265,1,9,1,N_E,1,1,2
GestureMultiAngle,3,266,1,10,1,S_W,3,1,1
GestureMultiAngle,3,267,1,11,1,NE_SE,3,1,1
GestureMultiAngle,3,268,1,12,1,N_E,4,1,1
GestureMultiAngle,3,269,1,13,1,S_W,2,1,2
GestureMultiAngle,3,270,1,14,1,SW_NW,1,1,2
GestureMultiAngle,3,271,1,15,1,N_E,2,1,2
GestureMultiAngle,3,272,1,16,1,N_E,3,1,1
GestureMultiAngle,3,273,1,17,1,S_W,2,1,1
GestureMultiAngle,3,274,1,18,1,NE_SE,1,1,1
GestureMultiAngle,3,275,1,19,1,NE_SE,1,1,2
GestureMultiAngle,3,276,1,20,1,N_E,3,1,2
GestureMultiAngle,3,277,1,21,1,NE_SE,2,1,2
GestureMultiAngle,3,278,1,22,1,NE_SE,3,1,2
GestureMultiAngle,3,279,1,23,1,N_E,4,1,2
